NO3,ppt,NO3_res
1.65,40.39,0.0634566368802054
1.19,3.3,-0.961174470021466
4.74,2.03,0.285539213032048
4.36,21.08,0.853988831008475
1.54,30.48,-0.0839665651406185
1.48,25.65,-0.171773712310903
1.7,29.21,0.00302197542099247
1.73,16,-0.147183069649569
2.48,19.05,0.261564518971453
2.68,2.54,-0.222238010248883
1.22,30.99,-0.312275006398643
1.46,55.88,0.0315595308982473
0.76,42.16,-0.699806246437858
2.03,13.46,-0.0354300170405969
2.25,53.85,0.453743799273124
1.64,17.02,-0.183390375271136
1.12,18.54,-0.540925714618032
0.67,59.44,-0.730147624958302
3.5,1.27,-0.14840566189265
2.42,6.1,-0.0801951072997261
1.67,29.97,-0.00762648315078407
1.59,10.41,-0.3513206998406
2.92,16.26,0.380770068169702
5.95,8.13,0.89946384583068
3.46,6.35,0.288496375891443
3.21,7.11,0.244994230937597
2.61,18.29,0.301313461408597
5.19,10.92,0.845004373400634
4.23,4.83,0.413201302362134
2.42,14.73,0.165421787341107
2.05,9.65,-0.118335631622219
0.77,49.78,-0.640446448727977
1.79,9.65,-0.253959804919872
2.63,12.7,0.207325458627854
1.14,21.34,-0.484039686231714
1.2,23.62,-0.404465106026
1.29,25.15,-0.314658096589013
1.64,48.51,0.108414491560736
4.76,5.33,0.558690835949634
1.38,30.23,-0.195960046170414
1.71,29.46,0.0112614433034502
2.11,12.7,-0.0129704400738442
0.84,32.77,-0.669919507860923
2.18,22.35,0.177140450462162
1.01,7.87,-0.883032481649767
1.34,10.41,-0.52238510210992
1.58,31.24,-0.0514625008514368
2.73,2.54,-0.20375319557478
1.3,31.24,-0.246523083422821
1.85,23.11,0.0223174926561567
5.89,1.27,0.372087367275477
1.32,16.26,-0.413181811512209
1.17,18.03,-0.505021908176716
1.64,84.58,0.263298419119444
0.73,41.66,-0.743404026071586
1.35,19.81,-0.335690513354138
2.43,33.27,0.396543938607374
1.71,27.18,-0.0111806956299629
1.02,17.78,-0.646113128613978
0.56,1.27,-5.98098712564096
6.09,1.02,0.344405399372403
8.32,10.67,1.31048048057863
1.72,22.86,-0.0535741700007837
0.81,35.05,-0.687547623662278
1.51,14.73,-0.306236102000655
1.57,19.56,-0.188257816433136
1.91,31.24,0.138215894168226
2.86,19.81,0.415026519027285
1.87,11.94,-0.150912042552173
5.16,4.83,0.611935888797419
4.53,12.95,0.756494608095809
3.21,16.76,0.483895476712902
