year_nu	month_nu	mean_va
1956	11	560.5
1956	12	8120
1957	1	7883
1957	2	12000
1957	3	3762
1957	4	10400
1957	5	2754
1957	6	2217
1957	7	1483
1957	8	121
1957	9	142.7
1957	10	98.5
1957	11	4438
1957	12	9134
1958	1	3647
1958	2	5292
1958	3	4705
1958	4	8735
1958	5	11800
1958	6	865.1
1958	7	4483
1958	8	3128
1958	9	442
1958	10	160.5
1958	11	330.2
1958	12	1802
1959	1	9537
1959	2	5847
1959	3	3350
1959	4	5218
1959	5	1148
1959	6	1436
1959	7	843.7
1959	8	351.4
1959	9	102.4
1959	10	622.2
1959	11	2259
1959	12	4326
1960	1	5672
1960	2	9438
1960	3	7756
1960	4	2240
1960	5	1506
1960	6	2530
1960	7	6082
1960	8	364.4
1960	9	748.8
1960	10	362.7
1960	11	1194
1960	12	1475
1961	1	5472
1961	2	7762
1961	3	12840
1961	4	11580
1961	5	12100
1961	6	6417
1961	7	2520
1961	8	3245
1961	9	282.7
1961	10	121.9
1961	11	326.4
1961	12	4273
1962	1	9164
1962	2	9670
1962	3	16430
1962	4	10600
1962	5	1501
1962	6	1730
1962	7	2005
1962	8	370.5
1962	9	79.9
1962	10	369.3
1962	11	3938
1962	12	3809
1963	1	2755
1963	2	3896
1963	3	17360
1963	4	1552
1963	5	1887
1963	6	2364
1963	7	443.3
1963	8	750.8
1963	9	259.8
1963	10	23.9
1963	11	32.3
1963	12	71.5
1964	1	2304
1964	2	4240
1964	3	24720
1964	4	4223
1964	5	1221
1964	6	317.5
1964	7	190.6
1964	8	205.4
1964	9	37.6
1964	10	197.9
1964	11	181.1
1964	12	6441
1965	1	5383
1965	2	5656
1965	3	10760
1965	4	9461
1965	5	1354
1965	6	428.3
1965	7	2731
1965	8	437.6
1965	9	3168
1965	10	2130
1965	11	464.2
1965	12	373.9
1966	1	5928
1966	2	10810
1966	3	1814
1966	4	5879
1966	5	7280
1966	6	253
1966	7	1068
1966	8	1594
1966	9	495.2
1966	10	835.1
1966	11	4177
1966	12	10130
1967	1	2370
1967	2	3620
1967	3	16820
1967	4	5090
1967	5	11270
1967	6	878.6
1967	7	522.4
1967	8	424.2
1967	9	141.8
1967	10	143.8
1967	11	1608
1967	12	6173
1968	1	3726
1968	2	2255
1968	3	13210
1968	4	8843
1968	5	7639
1968	6	1682
1968	7	1138
1968	8	4442
1968	9	290.2
1968	10	223.7
1968	11	536.1
1968	12	2535
1969	1	5292
1969	2	4603
1969	3	1692
1969	4	4668
1969	5	2013
1969	6	423.3
1969	7	827.3
1969	8	591.6
1969	9	180.9
1969	10	31.5
1969	11	567.9
1969	12	1802
1970	1	5036
1970	2	9344
1970	3	5271
1970	4	13900
1970	5	6933
1970	6	792.9
1970	7	430.1
1970	8	306.7
1970	9	628.6
1970	10	484
